Date,Sales
2015-01-03,16.448
2015-01-04,288.06
2015-01-05,19.536
2015-01-06,2623.956
2015-01-07,87.15799999999999
2015-01-08,0.0
2015-01-09,40.544
2015-01-10,54.83
2015-01-11,9.94
2015-01-12,0.0
2015-01-13,3018.621
2015-01-14,61.96
2015-01-15,149.95
2015-01-16,299.964
2015-01-17,0.0
2015-01-18,64.864
2015-01-19,378.594
2015-01-20,2396.606
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,40.08
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,1097.25
2015-01-27,426.67
2015-01-28,3.928
2015-01-29,0.0
2015-01-30,240.5
2015-01-31,290.666
2015-02-01,468.9
2015-02-02,211.64600000000002
2015-02-03,97.11200000000001
2015-02-04,134.38400000000001
2015-02-05,0.0
2015-02-06,330.512
2015-02-07,180.32
2015-02-08,14.56
2015-02-09,0.0
2015-02-10,0.0
2015-02-11,1577.8560000000002
2015-02-12,129.568
2015-02-13,0.0
2015-02-14,576.726
2015-02-15,21.36
2015-02-16,9.04
2015-02-17,54.208
2015-02-18,37.784
2015-02-19,0.0
2015-02-20,95.59
2015-02-21,8.85
2015-02-22,19.44
2015-02-23,11.364
2015-02-24,55.672
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,19.456
2015-02-28,0.0
2015-03-01,2203.151
2015-03-02,47.76
2015-03-03,1345.8919999999998
2015-03-04,370.452
2015-03-05,705.562
2015-03-06,0.0
2015-03-07,1561.062
2015-03-08,0.0
2015-03-09,0.0
2015-03-10,741.956
2015-03-11,918.314
2015-03-12,0.0
2015-03-13,0.0
2015-03-14,1759.306
2015-03-15,370.78200000000004
2015-03-16,471.92
2015-03-17,2890.3880000000004
2015-03-18,4265.828
2015-03-19,590.762
2015-03-20,0.0
2015-03-21,1400.5620000000001
2015-03-22,464.09299999999996
2015-03-23,945.064
2015-03-24,65.38
2015-03-25,459.146
2015-03-26,145.13
2015-03-27,0.0
2015-03-28,1099.172
2015-03-29,790.6760000000002
2015-03-30,1170.3220000000001
2015-03-31,1624.74
2015-04-01,119.88799999999999
2015-04-02,1199.304
2015-04-03,0.0
2015-04-04,475.844
2015-04-05,1806.3640000000003
2015-04-06,1650.69
2015-04-07,1021.1700000000001
2015-04-08,1533.506
2015-04-09,0.0
2015-04-10,0.0
2015-04-11,1915.24
2015-04-12,1588.0310000000002
2015-04-13,638.576
2015-04-14,0.0
2015-04-15,294.71999999999997
2015-04-16,39.072
2015-04-17,0.0
2015-04-18,1020.532
2015-04-19,205.47
2015-04-20,1250.45
2015-04-21,807.1960000000001
2015-04-22,257.752
2015-04-23,643.98
2015-04-24,0.0
2015-04-25,1683.63
2015-04-26,282.568
2015-04-27,0.0
2015-04-28,1689.1920000000002
2015-04-29,768.8439999999999
2015-04-30,1013.4160000000002
2015-05-01,0.0
2015-05-02,506.12
2015-05-03,72.632
2015-05-04,187.43200000000002
2015-05-05,260.977
2015-05-06,254.456
2015-05-07,1009.7060000000001
2015-05-08,790.6760000000002
2015-05-09,394.48
2015-05-10,1702.4750000000001
2015-05-11,1220.518
2015-05-12,734.846
2015-05-13,898.382
2015-05-14,310.88
2015-05-15,0.0
2015-05-16,289.28
2015-05-17,91.68
2015-05-18,944.964
2015-05-19,91.62
2015-05-20,320.10400000000004
2015-05-21,2339.074
2015-05-22,180.93
2015-05-23,323.75800000000004
2015-05-24,116.28
2015-05-25,119.53999999999999
2015-05-26,1325.718
2015-05-27,1834.5660000000003
2015-05-28,221.96800000000002
2015-05-29,0.0
2015-05-30,1924.913
2015-05-31,773.7
2015-06-01,3173.5080000000003
2015-06-02,738.598
2015-06-03,531.16
2015-06-04,456.272
2015-06-05,0.0
2015-06-06,1172.9130000000002
2015-06-07,281.397
2015-06-08,1615.0600000000002
2015-06-09,3659.6520000000005
2015-06-10,491.55
2015-06-11,0.0
2015-06-12,0.0
2015-06-13,14.52
2015-06-14,212.94
2015-06-15,935.7060000000001
2015-06-16,763.792
2015-06-17,880.7860000000002
2015-06-18,139.8
2015-06-19,0.0
2015-06-20,1828.9496
2015-06-21,3151.0150000000003
2015-06-22,1912.2440000000001
2015-06-23,109.49600000000001
2015-06-24,4.272
2015-06-25,792.76
