Date,Sales,Z_Score,Anomaly_Z,Rolling_Mean,Rolling_Std,Anomaly_Rolling,Anomaly_IForest,IForest_Score,Anomaly_Vote_Count,Is_Anomaly
2015-01-05,324.044,-1.6101008385480635,0,2662.09025,1630.0694560707884,0,0,0.0006768430924178892,0,0
2015-01-12,2816.4280000000003,-1.0735667774101423,0,2458.1342,1483.521208264041,0,0,0.16667093255729482,0,0
2015-01-19,3973.953,-0.8243870406124933,0,2174.593166666667,1497.6786189960003,0,0,0.18821841282185087,0,0
2015-01-26,3533.936,-0.9191092455294421,0,2194.587,1368.2102586095214,0,0,0.18776212536061226,0,0
2015-02-02,1642.31,-1.3263184797140946,0,1948.6681250000001,1445.1226879767917,0,0,0.08084050970116419,0,0
2015-02-09,756.888,-1.5169227611895255,0,2198.9175,1288.4467013423566,0,1,-0.029132792169968114,1,0
2015-02-16,2314.55,-1.18160576399318,0,2344.735,1426.8886901171675,0,0,0.07974438783808102,0,0
2015-02-23,227.236,-1.6309406406775266,0,2380.775625,1476.6906915712327,0,1,-0.06023990270470114,1,0
2015-03-02,2326.039,-1.1791325336127838,0,3258.62075,3264.8632166017424,0,0,0.08091098282560094,0,0
2015-03-09,3982.968,-0.8224463867801953,0,3519.5602500000005,3200.0040474888137,0,0,0.1929834625660513,0,0
2015-03-16,4262.278,-0.7623194847392446,0,4284.553,3176.641809038911,0,0,0.18946477898010583,0,0
2015-03-23,10556.697000000002,0.5926764503067565,0,4832.299625000001,3166.2020696239733,0,0,0.19378422646564308,0,0
2015-03-30,3729.826,-0.8769401186066617,0,5155.175625000001,2731.35119594486,0,0,0.1955565154855497,0,0
2015-04-06,6876.83,-0.19948638894972204,0,5323.8115,2568.517745759661,0,0,0.19470184306687438,0,0
2015-04-13,6696.523,-0.23830097248163165,0,5355.645,2551.044403026954,0,0,0.21178232574730288,0,0
2015-04-20,2810.2439999999997,-1.074898003510967,0,5527.021250000001,2512.865993520817,0,0,0.16791945794778484,0,0
2015-04-27,3675.126,-0.8887153559473941,0,4616.188125000001,1574.8421681213872,0,0,0.20141240591726217,0,0
2015-05-04,4237.636,-0.7676241538169472,0,4586.373125,1596.1339670843468,0,0,0.18841771309447763,0,0
2015-05-11,5633.2880000000005,-0.4671829555524495,0,4883.566,2193.202055160511,0,0,0.2041925087229881,0,0
2015-05-18,3270.032,-0.975919706867078,0,4645.925625,2068.1297058104005,0,0,0.1825520168109997,0,0
2015-05-25,3491.3060000000005,-0.9282861809560495,0,4958.941125,1935.8786087532487,0,0,0.176845184790361,0,0
2015-06-01,9254.373,0.312325916585876,0,5584.1237,2244.970967064546,0,0,0.1295051358615945,0,0
2015-06-08,4795.400000000001,-0.6475546203596102,0,5401.58795,2422.44438465645,0,0,0.20189952861371746,0,0
2015-06-15,5314.368,-0.5358366793679232,0,5216.2009499999995,2458.6586868694244,0,0,0.21645143730625044,0,0
2015-06-22,8676.5866,0.18794617266910443,0,5499.835575,2329.5654098825553,0,0,0.16141154665768465,0,0
2015-06-29,2777.35,-1.0819790758525767,0,5454.867325,2376.8672656574163,0,0,0.15813029967399017,0,0
2015-07-06,4150.192,-0.7864481730861066,0,5639.9472000000005,2744.2442082972207,0,0,0.19051871609476795,0,0
2015-07-13,5539.109,-0.48745681437352534,0,5356.612950000001,2952.9729554159717,0,0,0.21189751515180144,0,0
2015-07-20,3131.5600000000004,-1.00572849416225,0,5986.626200000001,3440.13790848625,0,0,0.13977609583492656,0,0
2015-07-27,10735.012,0.6310622171515957,0,5353.328875000001,3339.050213517416,0,0,0.1726641412045135,0,0
2015-08-03,2528.7260000000006,-1.135500220433971,0,5483.607875,3243.1405781638996,0,0,0.07094136589557731,0,0
2015-08-10,10354.474,0.5491440221393895,0,5502.9764375,3234.490730430013,0,0,0.16874422971147612,0,0
2015-08-17,3610.208,-0.9026902162341525,0,5639.5499375,3259.206695229098,0,0,0.19499921562437478,0,0
2015-08-24,3819.5820000000003,-0.8576183964356417,0,7252.392187500001,4710.287991570746,0,0,0.18711683093682924,0,0
2015-08-31,4305.1405,-0.7530924991722034,0,7264.643687500001,4720.756195008842,0,0,0.18949399511871162,0,0
2015-09-07,6631.697,-0.2522560279816376,0,7748.640412500001,4349.749310157145,0,0,0.206637356899181,0,0
2015-09-14,16034.298000000003,1.7718364472507018,0,7490.208287500001,4232.652271952572,1,0,0.06449414562325961,1,0
2015-09-21,10833.024000000001,0.6521612036642078,0,7616.1700375,4114.021790784785,0,0,0.17459450636418083,0,0
2015-09-28,6400.6998,-0.3019826615290719,0,8125.125287500001,3818.4798293326603,0,0,0.21489422843848088,0,0
2015-10-05,8287.017000000002,0.10408375035220829,0,8048.203475000001,3911.490581053971,0,0,0.14046878822711717,0,0
2015-10-12,4617.902,-0.685764512087313,0,8680.708600000002,4056.153373679082,0,0,0.17461413800826003,0,0
2015-10-19,7891.224000000001,0.01888162031929143,0,8018.610725000001,2971.6481254470286,0,0,0.1470392837238519,0,0
2015-10-26,3689.766,-0.8855638116207337,0,8353.722687500001,3447.441007456408,0,0,0.19740501419850637,0,0
2015-11-02,11691.738000000001,0.8370160694376957,0,9558.8170875,4257.142839737724,0,0,0.11623420006188201,0,0
2015-11-09,10737.515000000001,0.6316010365129094,0,10162.035712500001,4390.980232887006,0,0,0.1727209572399626,0,0
2015-11-16,13513.9197,1.2292760693543219,0,10896.375962500002,3780.075150629069,0,0,0.15467587989938913,0,0
2015-11-23,16041.455000000002,1.773377130498373,0,10753.168775000002,3928.9582679431583,0,0,0.06409398507117148,0,0
2015-11-30,13112.766000000001,1.1429199445350713,0,11984.506650000001,2772.436565854341,0,0,0.1161139171069564,0,0
2015-12-07,10492.624000000002,0.5788834926809291,0,11804.428650000002,2840.1293604789676,0,0,0.19203851918127146,0,0
2015-12-14,6745.5665,-0.22774340662202996,0,11815.215900000001,2835.6585248819765,0,0,0.1986369341727489,0,0
2015-12-21,13540.469000000001,1.2349913217991173,0,10311.1704375,4505.368625964073,0,0,0.15537676214956614,0,0
2015-12-28,10251.114000000001,0.5268937747620934,0,8521.008312500002,4742.216408487967,0,0,0.1672077566919729,0,0
2016-01-04,10823.813,0.6501783570253504,0,6926.7278125,5107.814977269358,0,0,0.17138137436672213,0,0
2016-01-11,1481.556,-1.3609239002528903,0,6073.2753125,4996.064081498451,0,0,0.06450073166342762,0,0
2016-01-18,1720.158,-1.3095601858109622,0,5592.634250000001,5105.898391191251,0,0,0.09189712300785913,0,0
2016-01-25,358.522,-1.6026787794432413,0,4343.217375,3982.591197204407,0,1,-0.00021373992392148544,1,0
2016-02-01,3665.004000000001,-0.8908943130289826,0,3249.604375,3265.127294200165,0,0,0.20158331702612675,0,0
2016-02-08,2900.438,-1.0554819933334525,0,2118.400375,1146.338995913282,0,0,0.15228232399015273,0,0
2016-02-15,3545.134,-0.9166986585506209,0,2696.6014999999998,1773.9701963566836,0,0,0.19172049032262173,0,0
2016-02-22,1502.21,-1.3564777256270129,0,3116.7435,1903.0034086180858,0,0,0.08489068540312317,0,0
2016-02-29,1774.181,-1.2979306858683957,0,3737.018125,1669.9765221049076,0,0,0.0728915369578903,0,0
2016-03-07,6107.165,-0.36517172803299247,0,3689.965125,1677.5811638850412,0,0,0.2147035519402929,0,0
2016-03-14,5081.294000000001,-0.5860103844493472,0,3794.7346250000005,1647.125133215195,0,0,0.20735918168122558,0,0
2016-03-21,5320.719000000001,-0.5344695032737551,0,4123.5716250000005,1841.3268881658685,0,0,0.2138756827260082,0,0
2016-03-28,3288.5800000000004,-0.9719268896422897,0,5219.917875,2537.188510310553,0,0,0.17440196769740118,0,0
2016-04-04,3738.594,-0.875052636321405,0,5437.848750000001,2258.508231887645,0,0,0.19611055812819772,0,0
2016-04-11,6175.83,-0.35039025322492307,0,5510.696437500001,2292.3265250762784,0,0,0.2134075684333656,0,0
2016-04-18,10272.980000000001,0.5316008559264893,0,5555.302937500001,2286.241003321844,1,0,0.1674191041212097,1,0
2016-04-25,3517.628,-0.9226198592506976,0,5488.335,2301.8868836828747,0,0,0.18675940105664685,0,0
2016-05-02,6689.946500000001,-0.23971669183028463,0,5480.348750000001,2310.703014897238,0,0,0.21117187470513454,0,0
2016-05-09,5438.146000000001,-0.5091910609481575,0,5747.0581250000005,2201.501426263957,0,0,0.2198709824030871,0,0
2016-05-16,4784.9755,-0.649798696441118,0,5651.734375000001,2196.7884347763757,0,0,0.1992776168541729,0,0
2016-05-23,3224.6900000000005,-0.9856804529640338,0,4991.466875,1157.2381447743624,0,0,0.16755907693657235,0,0
2016-05-30,5872.269,-0.4157376539998792,0,5192.813,992.5887941062274,0,0,0.21240144402030903,0,0
2016-06-06,5413.240000000001,-0.514552561153062,0,4956.4844375,789.5068697677231,0,0,0.217887361889196,0,0
2016-06-13,4990.84,-0.6054823646763787,0,4882.2124375,765.2990713119935,0,0,0.2022565864032867,0,0
2016-06-20,5128.397,-0.5758705489016229,0,4920.95675,767.5157927858442,0,0,0.20435844235614714,0,0
2016-06-27,4799.318000000001,-0.6467111947672701,0,5424.3123749999995,815.1163331253623,0,0,0.20105896884815916,0,0
2016-07-04,4843.97,-0.6370989845709562,0,5397.923875,801.8517644908081,0,0,0.19481804138910175,0,0
2016-07-11,5094.93,-0.5830749706215917,0,5236.65725,919.4432983300104,0,0,0.20880342924651824,0,0
2016-07-18,7251.535,-0.1188238604714921,0,5061.09165,1091.1493530271869,1,0,0.16029522979385508,1,0
2016-07-25,5661.161,-0.4611827509747853,0,5219.329275,1189.6484695727868,0,0,0.20641721140613423,0,0
2016-08-01,4123.107,-0.7922787453598495,0,5315.094525,1181.8181916056608,0,0,0.18932127210785388,0,0
2016-08-08,3586.3152,-0.907833605461477,0,6072.96265,2274.970794585384,0,0,0.1914210899618723,0,0
2016-08-15,6394.298000000001,-0.30336077330983785,0,6388.608775000001,2294.977996306605,0,0,0.21411303760473532,0,0
2016-08-22,5565.44,-0.48178855524338243,0,6484.213525,2351.301177200675,0,0,0.21106257405987838,0,0
2016-08-29,10906.915,0.6680676764675728,0,7659.1106500000005,3789.6428421696946,0,0,0.15518939192128828,0,0
2016-09-05,7620.099,-0.03948330150897393,0,9406.713525000001,4966.858062197454,0,0,0.1743903418831958,0,0
2016-09-12,8016.3730000000005,0.045822373115549694,0,9591.301125000002,4741.9984325560645,0,0,0.1336671679187968,0,0
2016-09-19,15060.338000000002,1.5621726417592965,0,9361.56125,4958.58868865475,0,0,0.09770784663768861,0,0
2016-09-26,18103.93,2.2173649300290363,1,9406.419750000001,4920.820018227795,0,0,0.11505867130426695,1,0
2016-10-03,5063.0160000000005,-0.5899450789304059,0,8723.12275,5060.249194440015,0,0,0.20297490783160094,0,0
2016-10-10,4556.379000000001,-0.6990085326890293,0,8739.642875,5056.3479641062395,0,0,0.17738305859593656,0,0
2016-10-17,5924.308000000001,-0.4045352485890129,0,9116.564,5106.86688894504,0,0,0.2115479854775782,0,0
2016-10-24,5440.539000000001,-0.5086759212231781,0,9475.272275,5655.332903341192,0,0,0.21928945456930682,0,0
2016-10-31,7752.26,-0.011033079531121074,0,9074.828375000001,5036.647636067245,0,0,0.1738026750551554,0,0
2016-11-07,11031.742,0.6949391125101981,0,9682.0106875,4769.63388563426,0,0,0.14589575694053253,0,0
2016-11-14,17930.004200000003,2.179924023727816,1,10786.249062500001,4423.481471610113,0,0,0.12462311995962971,1,0
