Date,Sales
2015-01-05,324.044
2015-01-12,2816.4280000000003
2015-01-19,3973.953
2015-01-26,3533.936
2015-02-02,1642.31
2015-02-09,756.888
2015-02-16,2314.55
2015-02-23,227.236
2015-03-02,2326.039
2015-03-09,3982.968
2015-03-16,4262.278
2015-03-23,10556.697000000002
2015-03-30,3729.826
2015-04-06,6876.83
2015-04-13,6696.523
2015-04-20,2810.2439999999997
2015-04-27,3675.126
2015-05-04,4237.636
2015-05-11,5633.2880000000005
2015-05-18,3270.032
2015-05-25,3491.3060000000005
2015-06-01,9254.373
2015-06-08,4795.400000000001
2015-06-15,5314.368
2015-06-22,8676.5866
2015-06-29,2777.35
2015-07-06,4150.192
2015-07-13,5539.109
2015-07-20,3131.5600000000004
2015-07-27,10735.012
2015-08-03,2528.7260000000006
2015-08-10,10354.474
2015-08-17,3610.208
2015-08-24,3819.5820000000003
2015-08-31,4305.1405
2015-09-07,6631.697
2015-09-14,16034.298000000003
2015-09-21,10833.024000000001
2015-09-28,6400.6998
2015-10-05,8287.017000000002
2015-10-12,4617.902
2015-10-19,7891.224000000001
2015-10-26,3689.766
2015-11-02,11691.738000000001
2015-11-09,10737.515000000001
2015-11-16,13513.9197
2015-11-23,16041.455000000002
2015-11-30,13112.766000000001
2015-12-07,10492.624000000002
2015-12-14,6745.5665
2015-12-21,13540.469000000001
2015-12-28,10251.114000000001
2016-01-04,10823.813
2016-01-11,1481.556
2016-01-18,1720.158
2016-01-25,358.522
2016-02-01,3665.004000000001
2016-02-08,2900.438
2016-02-15,3545.134
2016-02-22,1502.21
2016-02-29,1774.181
2016-03-07,6107.165
2016-03-14,5081.294000000001
2016-03-21,5320.719000000001
2016-03-28,3288.5800000000004
2016-04-04,3738.594
2016-04-11,6175.83
2016-04-18,10272.980000000001
2016-04-25,3517.628
2016-05-02,6689.946500000001
2016-05-09,5438.146000000001
2016-05-16,4784.9755
2016-05-23,3224.6900000000005
2016-05-30,5872.269
2016-06-06,5413.240000000001
2016-06-13,4990.84
2016-06-20,5128.397
2016-06-27,4799.318000000001
2016-07-04,4843.97
2016-07-11,5094.93
2016-07-18,7251.535
2016-07-25,5661.161
2016-08-01,4123.107
2016-08-08,3586.3152
2016-08-15,6394.298000000001
2016-08-22,5565.44
2016-08-29,10906.915
2016-09-05,7620.099
2016-09-12,8016.3730000000005
2016-09-19,15060.338000000002
2016-09-26,18103.93
2016-10-03,5063.0160000000005
2016-10-10,4556.379000000001
2016-10-17,5924.308000000001
2016-10-24,5440.539000000001
2016-10-31,7752.26
2016-11-07,11031.742
2016-11-14,17930.004200000003
2016-11-21,14900.3788
2016-11-28,9920.4745
2016-12-05,13390.286000000002
2016-12-12,13704.648000000001
2016-12-19,11436.210000000001
2016-12-26,11791.257000000001
2017-01-02,7750.0532
2017-01-09,4360.064
2017-01-16,1533.679
2017-01-23,3861.11
2017-01-30,3387.7760000000003
2017-02-06,6435.964000000001
2017-02-13,2939.494
2017-02-20,2789.787
2017-02-27,2855.484
2017-03-06,7692.343
2017-03-13,11554.404
2017-03-20,6029.789000000001
2017-03-27,3243.09
2017-04-03,6227.779
2017-04-10,8972.285
2017-04-17,6190.243
2017-04-24,6511.921
2017-05-01,1689.812
2017-05-08,6660.9310000000005
2017-05-15,4010.2520000000004
2017-05-22,7483.405000000001
2017-05-29,9945.931
2017-06-05,8370.398000000001
2017-06-12,10108.166000000001
2017-06-19,6940.972000000001
2017-06-26,8603.282000000001
2017-07-03,5360.0960000000005
2017-07-10,7015.204
2017-07-17,5720.97
2017-07-24,7620.106000000001
2017-07-31,8590.578000000001
2017-08-07,2802.318
2017-08-14,6125.9385
2017-08-21,4964.326
2017-08-28,9213.3838
2017-09-04,13725.469000000001
2017-09-11,13684.815000000002
2017-09-18,13459.174
2017-09-25,10584.378
2017-10-02,8667.415500000001
2017-10-09,5725.428000000001
2017-10-16,5796.021
2017-10-23,7604.956000000001
2017-10-30,6025.621
2017-11-06,15340.521
2017-11-13,17100.398
2017-11-20,11120.713
2017-11-27,14927.237000000001
2017-12-04,18186.649
2017-12-11,20600.736
2017-12-18,13614.62
2017-12-25,14488.010000000002
2018-01-01,6887.110000000001
2018-01-08,4746.176
2018-01-15,4073.101
2018-01-22,8476.363000000001
2018-01-29,3273.102
2018-02-05,5818.182000000001
2018-02-12,2974.277
2018-02-19,6389.383400000001
2018-02-26,4933.14
2018-03-05,4677.928
2018-03-12,5830.694
2018-03-19,9872.031
2018-03-26,10555.820000000002
2018-04-02,10496.9518
2018-04-09,7254.1705
2018-04-16,4315.272
2018-04-23,6009.098
2018-04-30,5225.8626
2018-05-07,9942.2598
2018-05-14,9993.491
2018-05-21,9756.98
2018-05-28,5299.275
2018-06-04,5072.3724
2018-06-11,6519.036
2018-06-18,9865.338000000002
2018-06-25,6715.408
2018-07-02,14055.304200000002
2018-07-09,10590.216
2018-07-16,6723.603
2018-07-23,10470.28
2018-07-30,6420.588000000001
2018-08-06,5363.424000000001
2018-08-13,9188.300000000001
2018-08-20,10832.124000000002
2018-08-27,12492.68
2018-09-03,13178.623
2018-09-10,15400.529000000002
2018-09-17,17558.459000000003
2018-09-24,18904.574
2018-10-01,7769.352
2018-10-08,11119.758000000002
2018-10-15,10432.635
2018-10-22,12698.757200000002
2018-10-29,6316.865000000001
2018-11-05,17995.777000000002
2018-11-12,17830.876
2018-11-19,19539.057
2018-11-26,16925.423000000003
2018-12-03,25214.346
2018-12-10,19763.625
2018-12-17,9103.417000000001
2018-12-24,17969.962000000003
2018-12-31,8560.667800000001
