Product Name,Total_Sales,YoY_Growth,Monthly_Sales_Volatility,Avg_Order_Value,Category,Sub-Category,Cluster,ClusterLabel
"""While you Were Out"" Message Book, One Form per Page",25.228,8.409333333333334,2.064695205297901,8.409305302315659,Office Supplies,Paper,0,"Low Volume, High Volatility"
"#10 Gummed Flap White Envelopes, 100/Box",41.3,2.8066040787846798,3.0857124411557773,10.324974187564532,Office Supplies,Envelopes,0,"Low Volume, High Volatility"
#10 Self-Seal White Envelopes,108.682,28.588969410223005,10.184621065780805,27.17043207391982,Office Supplies,Envelopes,0,"Low Volume, High Volatility"
"#10 White Business Envelopes,4 1/8 x 9 1/2",379.214,2.3661707537341568,24.74470777543845,63.20222799628667,Office Supplies,Envelopes,1,Declining Demand
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",286.672,29.758816185579008,14.949421287216943,28.66717133282867,Office Supplies,Envelopes,1,Declining Demand
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",146.688,8.40655518394649,8.285685538992162,18.33597708002865,Office Supplies,Envelopes,0,"Low Volume, High Volatility"
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",176.288,58.43224892123248,18.54250443427304,88.1435592822036,Office Supplies,Envelopes,1,Declining Demand
#6 3/4 Gummed Flap White Envelopes,71.28,23.44012924071082,7.243385243602196,17.819955450111376,Office Supplies,Envelopes,0,"Low Volume, High Volatility"
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2455.956,332.5849662267934,154.36911360547626,409.3253177911371,Office Supplies,Appliances,2,"High Volume, Stable Demand"
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",49.980000000000004,1.5258018357139174,6.40369362331433,24.989875050624747,Office Supplies,Paper,0,"Low Volume, High Volatility"
12 Colored Short Pencils,18.2,1.3345159678501577,1.5311125607736569,6.066646444511851,Office Supplies,Art,0,"Low Volume, High Volatility"
12-1/2 Diameter Round Wall Clock,551.448,0.6899116777320206,35.661611725966864,68.9309138363577,Furniture,Furnishings,1,Declining Demand
